task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
224	3e/16a288	480060	EBIMETAGENOMICS:MOBILOMEANNOTATION:FASTA_WRITER (b2)	COMPLETED	0	2026-08-21 22:50:38.718	741ms	1s	91.2%	3.2 MB	5.4 MB	6.7 MB	1.9 MB
215	18/575396	467573	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRATOR (b1)	COMPLETED	0	2026-08-21 22:48:02.049	3m 26s	3m 1s	102.1%	54.2 MB	8.5 GB	7.2 MB	12.9 KB
225	ef/b78029	481830	EBIMETAGENOMICS:MOBILOMEANNOTATION:GT_GFF3VALIDATOR (b1)	COMPLETED	0	2026-08-21 22:51:28.419	493ms	0ms	113.4%	3.3 MB	5.4 MB	291.4 KB	121 KB
226	9e/ea9a6d	481828	EBIMETAGENOMICS:MOBILOMEANNOTATION:FASTA_WRITER (b1)	COMPLETED	0	2026-08-21 22:51:28.413	717ms	0ms	94.8%	3.3 MB	5.4 MB	6.2 MB	1.8 MB
216	1b/ca2c83	467615	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRATOR (e)	COMPLETED	0	2026-08-21 22:48:02.077	4m 52s	4m 26s	100.6%	66.4 MB	8.5 GB	7.3 MB	24.9 KB
227	b3/ade6b9	483397	EBIMETAGENOMICS:MOBILOMEANNOTATION:GT_GFF3VALIDATOR (e)	COMPLETED	0	2026-08-21 22:52:53.827	519ms	0ms	112.3%	3.2 MB	5.4 MB	433 KB	250.9 KB
228	76/7a1b02	483390	EBIMETAGENOMICS:MOBILOMEANNOTATION:FASTA_WRITER (e)	COMPLETED	0	2026-08-21 22:52:53.820	725ms	0ms	95.0%	3.2 MB	5.4 MB	7.3 MB	3 MB
232	e0/9f757a	483493	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMBINEREPORTER (b2)	COMPLETED	0	2026-08-21 22:52:53.864	25.1s	0ms	105.0%	13.4 MB	17.7 MB	3 MB	217.2 KB
231	8e/059015	483424	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMBINEREPORTER (d)	COMPLETED	0	2026-08-21 22:52:53.841	25.2s	0ms	99.8%	15.2 MB	19.3 MB	3 MB	223.6 KB
230	33/dccff9	483520	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMBINEREPORTER (a)	COMPLETED	0	2026-08-21 22:52:53.871	25.3s	0ms	95.6%	16.5 MB	21.4 MB	3 MB	201.1 KB
