GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_004106805.1	TRUE	FALSE	FALSE
GCA_003396355.1	TRUE	FALSE	FALSE
GCA_000675475.1	TRUE	FALSE	FALSE
GCA_001849325.1	TRUE	FALSE	FALSE
GCA_900127315.1	TRUE	FALSE	FALSE
GCA_002129745.1	TRUE	FALSE	TRUE
GCA_000680195.1	TRUE	FALSE	FALSE
GCA_001324885.1	TRUE	FALSE	FALSE
GCA_001083565.1	TRUE	FALSE	FALSE
GCA_014489215.1	TRUE	FALSE	FALSE
GCA_004104765.1	TRUE	FALSE	FALSE
GCA_003395095.1	TRUE	FALSE	FALSE
GCA_001385895.1	TRUE	FALSE	FALSE
GCA_001318825.1	TRUE	FALSE	FALSE
GCA_001850775.1	TRUE	FALSE	FALSE
GCA_004105175.1	TRUE	FALSE	FALSE
GCA_965121955.1	TRUE	FALSE	FALSE
GCA_001843175.1	TRUE	FALSE	FALSE
GCA_001323285.1	TRUE	FALSE	FALSE
GCA_001849565.1	TRUE	FALSE	FALSE
GCA_000663545.1	TRUE	FALSE	FALSE
GCA_001287185.1	TRUE	FALSE	FALSE
GCA_004113275.1	TRUE	FALSE	FALSE
GCA_002890415.1	TRUE	FALSE	FALSE
GCA_001090285.1	TRUE	FALSE	FALSE
GCA_000669475.1	TRUE	FALSE	FALSE
GCA_001390255.1	TRUE	FALSE	FALSE
GCA_039906135.1	TRUE	FALSE	FALSE
GCA_000674555.1	TRUE	FALSE	FALSE
GCA_001200015.1	TRUE	FALSE	FALSE
GCA_001852815.1	TRUE	FALSE	TRUE
GCA_000678735.1	TRUE	FALSE	TRUE
GCA_001843045.1	TRUE	FALSE	FALSE
GCA_900122685.1	TRUE	FALSE	FALSE
GCA_001375975.1	TRUE	FALSE	TRUE
GCA_000705945.1	TRUE	FALSE	FALSE
GCA_001947045.1	TRUE	FALSE	TRUE
GCA_004110055.1	TRUE	FALSE	FALSE
GCA_900121845.1	TRUE	FALSE	FALSE
GCA_001841725.1	TRUE	FALSE	FALSE
GCA_004111355.1	TRUE	FALSE	FALSE
GCA_002128925.1	TRUE	FALSE	FALSE
GCA_001842985.1	TRUE	FALSE	FALSE
GCA_031626435.1	TRUE	FALSE	FALSE
