GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_047688895.1	TRUE	FALSE	FALSE
GCA_003718495.1	TRUE	FALSE	FALSE
GCA_002032875.1	TRUE	FALSE	FALSE
GCA_900036835.1	TRUE	FALSE	FALSE
GCA_003070585.1	TRUE	FALSE	FALSE
GCA_035968475.1	TRUE	FALSE	FALSE
GCA_041941495.1	TRUE	FALSE	FALSE
GCA_001630135.1	TRUE	FALSE	FALSE
GCA_003200315.1	TRUE	FALSE	FALSE
GCA_002063965.1	TRUE	FALSE	FALSE
GCA_037786955.1	TRUE	FALSE	TRUE
GCA_039032515.1	TRUE	FALSE	FALSE
GCA_020715225.1	TRUE	FALSE	FALSE
GCA_001479905.1	TRUE	FALSE	FALSE
GCA_001138885.1	TRUE	FALSE	FALSE
GCA_049313235.1	TRUE	FALSE	FALSE
GCA_039991165.1	TRUE	FALSE	FALSE
GCA_001107045.1	TRUE	FALSE	FALSE
GCA_046037675.1	TRUE	FALSE	FALSE
GCA_000524785.1	TRUE	FALSE	FALSE
GCA_007993185.1	TRUE	FALSE	FALSE
GCA_000505085.1	TRUE	FALSE	FALSE
GCA_003408675.1	TRUE	FALSE	FALSE
GCA_003690075.1	TRUE	FALSE	FALSE
GCA_013411875.1	TRUE	FALSE	FALSE
GCA_039836225.1	TRUE	FALSE	FALSE
GCA_002999175.1	TRUE	FALSE	FALSE
GCA_024177545.1	TRUE	FALSE	FALSE
GCA_001081165.1	TRUE	FALSE	FALSE
GCA_001116345.1	TRUE	FALSE	FALSE
GCA_046159265.1	TRUE	FALSE	FALSE
GCA_004324135.2	TRUE	FALSE	FALSE
GCA_003118755.1	TRUE	FALSE	FALSE
GCA_002042485.1	TRUE	FALSE	FALSE
GCA_000806885.1	TRUE	FALSE	FALSE
GCA_001085025.1	TRUE	FALSE	FALSE
GCA_037878215.1	TRUE	FALSE	FALSE
GCA_039991775.1	TRUE	FALSE	FALSE
GCA_015180645.1	TRUE	FALSE	FALSE
GCA_019797945.1	TRUE	FALSE	FALSE
GCA_027923125.1	TRUE	FALSE	FALSE
GCA_001048375.2	TRUE	FALSE	FALSE
GCA_001410395.1	TRUE	FALSE	FALSE
GCA_900456585.1	TRUE	FALSE	FALSE
GCA_013420865.1	TRUE	FALSE	TRUE
GCA_039991535.1	TRUE	FALSE	FALSE
GCA_035010965.1	TRUE	FALSE	FALSE
GCA_001093545.1	TRUE	FALSE	FALSE
GCA_040534605.1	TRUE	FALSE	FALSE
GCA_002038805.1	TRUE	FALSE	FALSE
GCA_009428895.1	TRUE	FALSE	FALSE
GCA_001366675.1	TRUE	FALSE	FALSE
GCA_045344035.1	TRUE	FALSE	FALSE
GCA_001079585.1	TRUE	FALSE	FALSE
GCA_000505405.1	TRUE	FALSE	FALSE
GCA_900003755.1	TRUE	FALSE	FALSE
GCA_046263535.1	TRUE	FALSE	FALSE
GCA_001121005.1	TRUE	FALSE	FALSE
GCA_001117685.1	TRUE	FALSE	FALSE
GCA_020164325.1	TRUE	FALSE	FALSE
GCA_900002645.1	TRUE	FALSE	FALSE
GCA_003718535.1	TRUE	FALSE	FALSE
GCA_002048105.1	TRUE	FALSE	FALSE
GCA_000388815.1	TRUE	FALSE	FALSE
GCA_900456715.1	TRUE	FALSE	FALSE
GCA_003718055.1	TRUE	FALSE	FALSE
GCA_004291525.1	TRUE	FALSE	FALSE
GCA_900478425.1	TRUE	FALSE	FALSE
